Ciudad,Empresa,Sueldo,Periodo
madrid,Ferrovial,Sobre 623 € -675 €,Data Scientist - Becario por mes
madrid,IQVIA,Sobre 36 mil € -39 mil €,Data Scientist
madrid,Orange,Sobre 52 mil € -56 mil €,Data Scientist - Proveedor de servicios
madrid,Universidad Politécnica de Madrid,Sobre 19 mil € -20 mil €,Data Scientist
madrid,Universidad Politécnica de Madrid,Sobre 1 mil € -1 mil €,Data Scientist - Proveedor de servicios por mes
madrid,Universidad Politécnica de Madrid,Sobre 201 € -222 €,Data Scientist - Por mes
madrid,Google,Sobre 60 mil € -65 mil €,Data Scientist
madrid,Universidad Carlos III de Madrid,Sobre 10 mil € -10 mil €,Data Scientist - Becario
madrid,Universidad Carlos III de Madrid,Sobre 775 € -833 €,Data Scientist - Por mes
madrid,Endesa S.A.,Sobre 31 mil € -33 mil €,Data Scientist
madrid,Mapfre,Sobre 26 mil € -28 mil €,Data Scientist
madrid,Freelance,Sobre 4 mil € -5 mil €,Data Scientist - Proveedor de servicios por mes
madrid,Siemens,Sobre 31 mil € -34 mil €,Data Scientist
madrid,Electronic Arts,Sobre 31 mil € -33 mil €,Data Scientist
madrid,Between,Sobre 42 mil € -45 mil €,Data Scientist
madrid,Comunidad de Madrid,Sobre 19 mil € -21 mil €,Data Scientist
madrid,Iberdrola,Sobre 39 mil € -43 mil €,Data Scientist
madrid,Page Personnel,Sobre 21 mil € -23 mil €,Data Scientist
madrid,Cognizant Technology Solutions,Sobre 33 mil € -35 mil €,Data Scientist
madrid,ING,Sobre 46 mil € -49 mil €,Data Scientist
madrid,Robert Bosch,Sobre 819 € -888 €,Data Scientist - Becario por mes
madrid,Cepsa,Sobre 40 mil € -44 mil €,Data Scientist
madrid,VASS,Sobre 32 mil € -34 mil €,Data Scientist
madrid,Bankinter,Sobre 43 mil € -47 mil €,Data Scientist
madrid,Bankinter,Sobre 623 € -679 €,Data Scientist - Becario por mes
madrid,AXA,Sobre 51 mil € -55 mil €,Data Scientist
madrid,Talent Search People,Sobre 42 mil € -45 mil €,Data Scientist
madrid,Paradigma Digital,Sobre 42 mil € -46 mil €,Data Scientist
madrid,Jobandtalent,Sobre 34 mil € -37 mil €,Data Scientist
madrid,GlaxoSmithKline,Sobre 677 € -734 €,Data Scientist - Becario por mes
madrid,Banco Popular Español,Sobre 46 mil € -50 mil €,Data Scientist
madrid,Talgo,Sobre 32 mil € -35 mil €,Data Scientist
madrid,sngular,Sobre 47 mil € -50 mil €,Data Scientist
madrid,Informática El Corte Inglés,Sobre 27 mil € -29 mil €,Data Scientist
madrid,Manpower,Sobre 25 mil € -27 mil €,Data Scientist
madrid,Stratio,Sobre 29 mil € -32 mil €,Data Scientist
madrid,SegurCaixa Adeslas,Sobre 26 mil € -28 mil €,Data Scientist
madrid,Nielsen,Sobre 2 mil € -2 mil €,Data Scientist - Por mes
madrid,Kairos Digital Solutions,Sobre 495 € -531 €,Data Scientist - Becario por mes
madrid,Techedge,Sobre 24 mil € -26 mil €,Data Scientist
madrid,Cofares,Sobre 20 mil € -22 mil €,Data Scientist
madrid,Carto,Sobre 38 mil € -40 mil €,Data Scientist
madrid,University of Alcala,Sobre 1 mil € -1 mil €,Data Scientist - Por mes
madrid,Línea Directa,Sobre 44 mil € -47 mil €,Data Scientist
madrid,Gi Group,Sobre 30 mil € -33 mil €,Data Scientist
madrid,Aubay,Sobre 28 mil € -30 mil €,Data Scientist
madrid,Stellantis,Sobre 35 mil € -38 mil €,Data Scientist
madrid,Grupo Servinform,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Bluetab,Sobre 31 mil € -34 mil €,Data Scientist
madrid,Smart Protection,Sobre 16 mil € -17 mil €,Data Scientist
madrid,Telefonica Tech,Sobre 37 mil € -40 mil €,Data Scientist
madrid,Dentsu International,Sobre 520 € -562 €,Data Scientist - Becario por mes
madrid,Atresmedia,Sobre 25 mil € -27 mil €,Data Scientist
madrid,Freepik,Sobre 35 mil € -39 mil €,Data Scientist
madrid,GfK,Sobre 31 mil € -33 mil €,Data Scientist
madrid,Good Rebels,Sobre 34 mil € -37 mil €,Data Scientist
madrid,Serem,Sobre 39 mil € -42 mil €,Data Scientist
madrid,Levi Strauss,Sobre 48 mil € -52 mil €,Data Scientist
madrid,Savana,Sobre 51 mil € -55 mil €,Data Scientist
madrid,Zooplus,Sobre 51 mil € -55 mil €,Data Scientist
madrid,Kabel,Sobre 27 mil € -30 mil €,Data Scientist
madrid,Findasense,Sobre 21 mil € -22 mil €,Data Scientist
madrid,Nextail,Sobre 63 mil € -67 mil €,Data Scientist
madrid,Taiger,Sobre 42 mil € -45 mil €,Data Scientist
madrid,M2C Consulting,Sobre 47 mil € -51 mil €,Data Scientist
madrid,El Corte Ingles,Sobre 21 mil € -23 mil €,Data Scientist
madrid,Olympic Channel Services,Sobre 46 mil € -50 mil €,Data Scientist
madrid,Analistas Financieros Internacionales,Sobre 25 mil € -27 mil €,Data Scientist
madrid,Santillana,Sobre 50 mil € -53 mil €,Data Scientist
madrid,ALD Automotive,Sobre 44 mil € -48 mil €,Data Scientist
madrid,Aegon,Sobre 48 mil € -51 mil €,Data Scientist
madrid,Evo Banco,Sobre 48 mil € -52 mil €,Data Scientist
madrid,Teradata,Sobre 47 mil € -51 mil €,Data Scientist
madrid,Accentue,Sobre 677 € -728 €,Data Scientist - Becario por mes
madrid,DOCOMO Digital,Sobre 48 mil € -52 mil €,Data Scientist
madrid,Luca TIC,Sobre 22 mil € -23 mil €,Data Scientist
madrid,Tempotel,Sobre 27 mil € -29 mil €,Data Scientist
madrid,NEXO Professional Community,Sobre 28 mil € -30 mil €,Data Scientist
madrid,Ericsson IT Solutions & Services,Sobre 35 mil € -38 mil €,Data Scientist
madrid,Seedtag,Sobre 27 mil € -29 mil €,Data Scientist
madrid,Irium,Sobre 37 mil € -40 mil €,Data Scientist
madrid,BASF Digital Solutions,Sobre 51 mil € -56 mil €,Data Scientist
madrid,Keepler,Sobre 42 mil € -45 mil €,Data Scientist
madrid,Novabase,Sobre 26 mil € -28 mil €,Data Scientist
madrid,Unlimiteck,Sobre 718 € -772 €,Data Scientist - Becario por mes
madrid,Aplicaciones en Informática Avanzada,Sobre 37 mil € -40 mil €,Data Scientist
madrid,Altran,Sobre 49 mil € -53 mil €,Data Scientist
madrid,ALTRAN,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Avansis,Sobre 25 mil € -27 mil €,Data Scientist - Proveedor de servicios
madrid,Grupo Caja de Ingenieros,Sobre 39 mil € -43 mil €,Data Scientist
madrid,PFS Group,Sobre 27 mil € -29 mil €,Data Scientist
madrid,TE Connectivity,Sobre 2 mil € -2 mil €,Data Scientist - Becario por mes
madrid,Alkemy,Sobre 1 mil € -1 mil €,Data Scientist - Becario por mes
madrid,Labelium,Sobre 26 mil € -28 mil €,Data Scientist
madrid,AnalyticAlways,Sobre 46 mil € -50 mil €,Data Scientist
madrid,Boeing,Sobre 1 mil € -2 mil €,Data Scientist - Becario por mes
madrid,JOT Internet Media,Sobre 26 mil € -29 mil €,Data Scientist
madrid,Alter,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Grupo Inmoglaciar,Sobre 47 mil € -51 mil €,Data Scientist
madrid,CrediMarket,Sobre 40 mil € -43 mil €,Data Scientist
madrid,Vizzuality,Sobre 31 mil € -33 mil €,Data Scientist
madrid,Rastreator,Sobre 29 mil € -31 mil €,Data Scientist
madrid,ExxonMobil,Sobre 45 mil € -48 mil €,Data Scientist
madrid,Colegio Universitario de Estudios Financieros,Sobre 49 mil € -53 mil €,Data Scientist
madrid,8Belts,Sobre 22 mil € -24 mil €,Data Scientist
madrid,Verisk Analytics,Sobre 57 mil € -61 mil €,Data Scientist
madrid,Strategy Big Data,Sobre 62 mil € -67 mil €,Data Scientist
madrid,Zed,Sobre 44 mil € -47 mil €,Data Scientist
madrid,Dentsu,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Bestinver,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Aderen,Sobre 28 € -31 € por hora,Data Scientist - Por hora
madrid,Tinámica,Sobre 31 mil € -34 mil €,Data Scientist
madrid,Novaquality Consulting,Sobre 21 mil € -23 mil €,Data Scientist
madrid,Pragsis Technologies,Sobre 1 mil € -1 mil €,Data Scientist - Becario por mes
madrid,Anonymous,Sobre 2 mil € -2 mil €,Data Scientist - Por mes
madrid,Next Digital Hub,Sobre 38 mil € -40 mil €,Data Scientist
madrid,FRG Technology Consulting,Sobre 28 mil € -31 mil €,Data Scientist
madrid,Artefact,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Multiasistencia,Sobre 30 mil € -33 mil €,Data Scientist
madrid,Investing.com,Sobre 38 mil € -41 mil €,Data Scientist
madrid,Avansis,Sobre 49 mil € -54 mil €,Data Scientist
madrid,Expert Timing Systems,Sobre 24 mil € -26 mil €,Data Scientist
madrid,Hocelot Financial Technologies,Sobre 34 mil € -36 mil €,Data Scientist
madrid,Centro de Cirugía de Mínima Invasión Jesús Usón,Sobre 15 mil € -16 mil €,Data Scientist
madrid,Geoban,Sobre 1 mil € -1 mil €,Data Scientist - Becario por mes
madrid,Walmeric Soluciones,Sobre 32 mil € -34 mil €,Data Scientist
madrid,Keedio,Sobre 29 mil € -31 mil €,Data Scientist
madrid,University of Valencia,Sobre 1 mil € -1 mil €,Data Scientist - Por mes
madrid,Galgus,Sobre 979 € -1 mil €,Data Scientist - Por mes
madrid,Saptools Consulting,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Orange Business Services,Sobre 51 mil € -54 mil €,Data Scientist
madrid,Fullstep Networks,Sobre 31 mil € -34 mil €,Data Scientist
madrid,Geotab,Sobre 50 mil € -53 mil €,Data Scientist
madrid,GlobalTMS,Sobre 28 mil € -30 mil €,Data Scientist
madrid,NorayBio,Sobre 26 mil € -28 mil €,Data Scientist
madrid,Smile and Learn,Sobre 30 mil € -32 mil €,Data Scientist
madrid,Oceana,Sobre 36 mil € -40 mil €,Data Scientist
madrid,Grupo Imprex Europe,Sobre 19 mil € -21 mil €,Data Scientist
madrid,Arfima Trading,Sobre 19 mil € -20 mil €,Data Scientist
madrid,Besoftware,Sobre 310 € -336 €,Data Scientist - Becario por mes
madrid,Idrica ,Sobre 31 mil € -34 mil €,Data Scientist
madrid,Lynx Talent,Sobre 33 mil € -36 mil €,Data Scientist
madrid,BMW Financial Services,Sobre 25 mil € -27 mil €,Data Scientist
madrid,Instituto de Salud Carlos III,Sobre 43 mil € -47 mil €,Data Scientist
madrid,Infoser New Tecnologies,Sobre 37 mil € -41 mil €,Data Scientist
madrid,SGS Consulting,Sobre 24 mil € -26 mil €,Data Scientist - Proveedor de servicios
madrid,Sanitas Medical Center,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Metiora,Sobre 26 mil € -28 mil €,Data Scientist
madrid,MCA Engineering,Sobre 34 mil € -37 mil €,Data Scientist
madrid,YUMP,Sobre 51 mil € -55 mil €,Data Scientist
madrid,Pompeii,Sobre 27 mil € -29 mil €,Data Scientist
madrid,Amadix.,Sobre 43 mil € -47 mil €,Data Scientist
madrid,Tidart Digital Media & Data Agency,Sobre 28 mil € -30 mil €,Data Scientist
madrid,Dive,Sobre 32 mil € -35 mil €,Data Scientist
madrid,CoHispania,Sobre 21 mil € -23 mil €,Data Scientist
madrid,Digilant,Sobre 36 mil € -40 mil €,Data Scientist
madrid,DatMean,Sobre 23 mil € -25 mil €,Data Scientist
madrid,Growara,Sobre 44 mil € -48 mil €,Data Scientist
madrid,Grass Roots Group,Sobre 218 € -237 €,Data Scientist - Becario por mes
madrid,Innaxis,Sobre 34 mil € -37 mil €,Data Scientist
madrid,BBVA AI Factory,Sobre 41 mil € -44 mil €,Data Scientist
madrid,QUANT AI Lab,Sobre 32 mil € -35 mil €,Data Scientist
madrid,Factoría Ambiental,Sobre 3 mil € -3 mil €,Data Scientist - Por mes
madrid,MACSF,Sobre 155 mil € -168 mil €,Data Scientist
madrid,Binfluencer,Sobre 27 mil € -30 mil €,Data Scientist
madrid,Pursuit Collection,Sobre 12 mil € -13 mil €,Data Scientist
madrid,Pipet Lab,Sobre 25 mil € -27 mil €,Data Scientist
madrid,Recognai,Sobre 40 mil € -42 mil €,Data Scientist
madrid,CAS,Sobre 67 mil € -72 mil €,Data Scientist
madrid,Nommon,Sobre 39 mil € -42 mil €,Data Scientist
madrid,Podo Technology,Sobre 49 mil € -54 mil €,Data Scientist
madrid,Rede Marista,Sobre 14 mil € -16 mil €,Data Scientist - Becario
madrid,medicalmotion,Sobre 3 mil € -4 mil €,Data Scientist - Por mes
madrid,Niteimpirta,Sobre 37 mil € -40 mil €,Data Scientist
madrid,Paco SA,Sobre 22 mil € -24 mil €,Data Scientist
madrid,Raíz Cimentaciones,Sobre 47 mil € -50 mil €,Data Scientist
madrid,Digital Rubik,Sobre 103 mil € -113 mil €,Data Scientist
madrid,Capita,Sobre 48 mil € -53 mil €,Data Scientist
madrid,Sensowave,Sobre 32 mil € -35 mil €,Data Scientist
